FROM,Cap,Role,TO,Distance
402,3.33,class Agent.Leader,232,2
402,3.33,class Agent.Leader,49,2
402,3.33,class Agent.Leader,286,1
402,3.33,class Agent.Leader,498,1
18,2.33,class Agent.Leader,120,1
18,2.33,class Agent.Leader,440,1
18,2.33,class Agent.Leader,244,1
18,2.33,class Agent.Leader,421,1
18,2.33,class Agent.Leader,492,2
375,2.33,class Agent.Leader,119,2
375,2.33,class Agent.Leader,337,1
375,2.33,class Agent.Leader,392,2
375,2.33,class Agent.Leader,99,1
375,2.33,class Agent.Leader,71,2
353,2.67,class Agent.Leader,130,2
353,2.67,class Agent.Leader,8,1
353,2.67,class Agent.Leader,394,1
353,2.67,class Agent.Leader,91,1
353,2.67,class Agent.Leader,82,1
450,3.00,class Agent.Leader,6,1
450,3.00,class Agent.Leader,113,2
450,3.00,class Agent.Leader,64,1
450,3.00,class Agent.Leader,241,1
143,2.67,class Agent.Leader,214,1
143,2.67,class Agent.Leader,90,2
143,2.67,class Agent.Leader,290,2
143,2.67,class Agent.Leader,184,2
357,3.33,class Agent.Leader,407,2
357,3.33,class Agent.Leader,459,1
357,3.33,class Agent.Leader,322,2
357,3.33,class Agent.Leader,287,1
357,3.33,class Agent.Leader,158,1
167,3.00,class Agent.Leader,385,1
167,3.00,class Agent.Leader,128,1
167,3.00,class Agent.Leader,386,1
167,3.00,class Agent.Leader,494,1
167,3.00,class Agent.Leader,495,1
4,2.67,class Agent.Leader,460,2
4,2.67,class Agent.Leader,320,1
4,2.67,class Agent.Leader,179,2
4,2.67,class Agent.Leader,482,1
4,2.67,class Agent.Leader,223,1
273,2.33,class Agent.Leader,265,1
273,2.33,class Agent.Leader,32,1
273,2.33,class Agent.Leader,163,1
273,2.33,class Agent.Leader,259,1
273,2.33,class Agent.Leader,452,3
42,2.00,class Agent.Leader,134,2
42,2.00,class Agent.Leader,459,2
42,2.00,class Agent.Leader,317,1
42,2.00,class Agent.Leader,467,2
42,2.00,class Agent.Leader,413,2
447,2.00,class Agent.Leader,130,1
447,2.00,class Agent.Leader,183,2
447,2.00,class Agent.Leader,463,1
447,2.00,class Agent.Leader,27,1
447,2.00,class Agent.Leader,438,1
260,2.00,class Agent.Leader,237,2
260,2.00,class Agent.Leader,380,2
260,2.00,class Agent.Leader,415,1
260,2.00,class Agent.Leader,187,1
292,2.67,class Agent.Leader,262,2
292,2.67,class Agent.Leader,220,1
292,2.67,class Agent.Leader,349,1
292,2.67,class Agent.Leader,56,2
292,2.67,class Agent.Leader,51,1
108,2.67,class Agent.Leader,214,2
108,2.67,class Agent.Leader,322,1
108,2.67,class Agent.Leader,95,1
108,2.67,class Agent.Leader,306,2
108,2.67,class Agent.Leader,221,1
342,2.33,class Agent.Leader,39,1
342,2.33,class Agent.Leader,295,2
342,2.33,class Agent.Leader,304,2
342,2.33,class Agent.Leader,226,3
342,2.33,class Agent.Leader,279,1
334,3.00,class Agent.Leader,162,1
334,3.00,class Agent.Leader,234,1
334,3.00,class Agent.Leader,180,1
334,3.00,class Agent.Leader,1,1
41,1.00,class Agent.Leader,348,1
41,1.00,class Agent.Leader,379,1
41,1.00,class Agent.Leader,180,1
41,1.00,class Agent.Leader,266,2
41,1.00,class Agent.Leader,363,1
493,2.33,class Agent.Leader,67,2
493,2.33,class Agent.Leader,496,1
493,2.33,class Agent.Leader,295,2
493,2.33,class Agent.Leader,140,1
493,2.33,class Agent.Leader,325,1
147,3.67,class Agent.Leader,12,1
147,3.67,class Agent.Leader,250,1
147,3.67,class Agent.Leader,164,1
147,3.67,class Agent.Leader,191,1
147,3.67,class Agent.Leader,325,2
147,3.67,class Agent.Leader,131,1
83,1.67,class Agent.Leader,303,2
83,1.67,class Agent.Leader,75,1
83,1.67,class Agent.Leader,417,1
83,1.67,class Agent.Leader,480,1
333,1.33,class Agent.Leader,303,3
333,1.33,class Agent.Leader,460,2
333,1.33,class Agent.Leader,242,2
333,1.33,class Agent.Leader,358,1
333,1.33,class Agent.Leader,51,1
323,2.67,class Agent.Leader,68,2
323,2.67,class Agent.Leader,99,1
323,2.67,class Agent.Leader,9,1
323,2.67,class Agent.Leader,363,1
323,2.67,class Agent.Leader,397,1
176,2.67,class Agent.Leader,120,1
176,2.67,class Agent.Leader,389,1
176,2.67,class Agent.Leader,465,1
176,2.67,class Agent.Leader,172,1
176,2.67,class Agent.Leader,71,2
254,3.00,class Agent.Leader,247,1
254,3.00,class Agent.Leader,474,1
254,3.00,class Agent.Leader,401,1
254,3.00,class Agent.Leader,421,2
254,3.00,class Agent.Leader,60,2
409,3.00,class Agent.Leader,268,1
409,3.00,class Agent.Leader,329,1
409,3.00,class Agent.Leader,426,2
409,3.00,class Agent.Leader,211,1
409,3.00,class Agent.Leader,488,1
356,2.67,class Agent.Leader,242,2
356,2.67,class Agent.Leader,204,1
356,2.67,class Agent.Leader,312,1
356,2.67,class Agent.Leader,482,1
356,2.67,class Agent.Leader,365,2
276,1.67,class Agent.Leader,40,1
276,1.67,class Agent.Leader,87,2
276,1.67,class Agent.Leader,485,1
276,1.67,class Agent.Leader,203,2
276,1.67,class Agent.Leader,89,1
10,3.00,class Agent.Leader,227,1
10,3.00,class Agent.Leader,37,1
10,3.00,class Agent.Leader,452,1
10,3.00,class Agent.Leader,430,1
490,2.67,class Agent.Leader,195,1
490,2.67,class Agent.Leader,303,1
490,2.67,class Agent.Leader,35,1
490,2.67,class Agent.Leader,314,2
490,2.67,class Agent.Leader,279,1
490,2.67,class Agent.Leader,29,1
481,2.33,class Agent.Leader,3,1
481,2.33,class Agent.Leader,37,2
481,2.33,class Agent.Leader,487,2
481,2.33,class Agent.Leader,70,1
481,2.33,class Agent.Leader,7,1
151,4.00,class Agent.Leader,8,1
151,4.00,class Agent.Leader,95,1
151,4.00,class Agent.Leader,271,2
151,4.00,class Agent.Leader,24,1
151,4.00,class Agent.Leader,148,1
92,2.00,class Agent.Leader,369,1
92,2.00,class Agent.Leader,249,2
92,2.00,class Agent.Leader,235,1
92,2.00,class Agent.Leader,474,2
92,2.00,class Agent.Leader,326,1
92,2.00,class Agent.Leader,184,1
256,4.33,class Agent.Leader,19,1
256,4.33,class Agent.Leader,135,1
256,4.33,class Agent.Leader,140,1
256,4.33,class Agent.Leader,472,1
256,4.33,class Agent.Leader,377,3
210,1.67,class Agent.Leader,65,1
210,1.67,class Agent.Leader,34,2
210,1.67,class Agent.Leader,472,2
210,1.67,class Agent.Leader,464,1
210,1.67,class Agent.Leader,71,1
443,3.00,class Agent.Leader,338,1
443,3.00,class Agent.Leader,330,2
443,3.00,class Agent.Leader,186,1
443,3.00,class Agent.Leader,446,1
449,1.33,class Agent.Leader,79,2
449,1.33,class Agent.Leader,204,1
449,1.33,class Agent.Leader,424,2
449,1.33,class Agent.Leader,456,1
196,2.33,class Agent.Leader,445,1
196,2.33,class Agent.Leader,126,1
196,2.33,class Agent.Leader,303,2
196,2.33,class Agent.Leader,111,1
196,2.33,class Agent.Leader,470,2
308,1.67,class Agent.Leader,61,1
308,1.67,class Agent.Leader,133,1
308,1.67,class Agent.Leader,225,1
308,1.67,class Agent.Leader,365,2
308,1.67,class Agent.Leader,98,2
96,3.00,class Agent.Leader,213,1
96,3.00,class Agent.Leader,439,1
96,3.00,class Agent.Leader,169,1
96,3.00,class Agent.Leader,420,1
96,3.00,class Agent.Leader,129,2
425,3.33,class Agent.Leader,457,1
425,3.33,class Agent.Leader,141,1
425,3.33,class Agent.Leader,401,1
425,3.33,class Agent.Leader,124,2
425,3.33,class Agent.Leader,49,2
153,3.33,class Agent.Leader,406,1
153,3.33,class Agent.Leader,299,1
153,3.33,class Agent.Leader,456,2
153,3.33,class Agent.Leader,82,2
418,2.33,class Agent.Leader,227,1
418,2.33,class Agent.Leader,128,2
418,2.33,class Agent.Leader,57,1
418,2.33,class Agent.Leader,157,1
390,2.67,class Agent.Leader,110,1
390,2.67,class Agent.Leader,185,2
390,2.67,class Agent.Leader,8,1
390,2.67,class Agent.Leader,23,1
390,2.67,class Agent.Leader,461,1
85,2.67,class Agent.Leader,486,1
85,2.67,class Agent.Leader,90,2
85,2.67,class Agent.Leader,391,1
85,2.67,class Agent.Leader,122,1
85,2.67,class Agent.Leader,131,2
85,2.67,class Agent.Leader,492,1
123,2.00,class Agent.Leader,101,1
123,2.00,class Agent.Leader,475,1
123,2.00,class Agent.Leader,420,2
123,2.00,class Agent.Leader,129,1
462,2.67,class Agent.Leader,40,1
462,2.67,class Agent.Leader,396,1
462,2.67,class Agent.Leader,345,2
462,2.67,class Agent.Leader,306,1
462,2.67,class Agent.Leader,26,1
20,1.67,class Agent.Leader,52,1
20,1.67,class Agent.Leader,127,2
20,1.67,class Agent.Leader,383,2
20,1.67,class Agent.Leader,416,1
20,1.67,class Agent.Leader,463,2
192,3.00,class Agent.Leader,329,1
192,3.00,class Agent.Leader,95,1
192,3.00,class Agent.Leader,169,1
192,3.00,class Agent.Leader,271,1
192,3.00,class Agent.Leader,187,2
343,2.33,class Agent.Leader,377,3
343,2.33,class Agent.Leader,266,2
343,2.33,class Agent.Leader,179,1
343,2.33,class Agent.Leader,245,1
343,2.33,class Agent.Leader,468,1
343,2.33,class Agent.Leader,24,1
45,1.33,class Agent.Leader,240,2
45,1.33,class Agent.Leader,431,1
45,1.33,class Agent.Leader,346,1
45,1.33,class Agent.Leader,80,1
45,1.33,class Agent.Leader,97,1
62,1.67,class Agent.Leader,186,1
62,1.67,class Agent.Leader,233,1
62,1.67,class Agent.Leader,43,2
62,1.67,class Agent.Leader,171,2
454,1.33,class Agent.Leader,249,2
454,1.33,class Agent.Leader,186,1
454,1.33,class Agent.Leader,347,1
454,1.33,class Agent.Leader,345,1
454,1.33,class Agent.Leader,326,1
454,1.33,class Agent.Leader,318,1
16,2.00,class Agent.Leader,344,1
16,2.00,class Agent.Leader,383,2
16,2.00,class Agent.Leader,203,2
16,2.00,class Agent.Leader,26,1
33,2.67,class Agent.Leader,134,1
33,2.67,class Agent.Leader,392,3
33,2.67,class Agent.Leader,27,2
33,2.67,class Agent.Leader,57,1
117,3.00,class Agent.Leader,335,2
117,3.00,class Agent.Leader,280,1
117,3.00,class Agent.Leader,403,1
117,3.00,class Agent.Leader,77,1
117,3.00,class Agent.Leader,441,1
239,2.67,class Agent.Leader,65,1
239,2.67,class Agent.Leader,391,2
239,2.67,class Agent.Leader,423,1
239,2.67,class Agent.Leader,261,1
239,2.67,class Agent.Leader,54,1
236,3.33,class Agent.Leader,274,1
236,3.33,class Agent.Leader,431,2
236,3.33,class Agent.Leader,470,2
